iter	Passed	Remaining
1173	23123	5022
1174	23142	5002
1175	23159	4982
1176	23178	4962
1177	23197	4942
1178	23217	4923
1179	23237	4903
1180	23255	4883
1181	23273	4863
1182	23292	4843
1183	23310	4823
1184	23329	4803
1185	23347	4783
1186	23365	4763
1187	23384	4743
1188	23401	4723
1189	23419	4703
1190	23440	4684
1191	23458	4664
1192	23477	4644
1193	23496	4624
1194	23513	4604
1195	23532	4584
1196	23551	4564
1197	23570	4544
1198	23588	4524
1199	23609	4505
1200	23626	4485
1201	23644	4465
1202	23663	4445
1203	23682	4425
1204	23700	4405
1205	23719	4385
1206	23738	4366
1207	23757	4346
1208	23775	4326
1209	23792	4306
1210	23810	4286
1211	23828	4266
1212	23845	4246
1213	23862	4226
1214	23879	4205
1215	23897	4185
1216	23916	4166
1217	23935	4146
1218	23962	4128
1219	23993	4110
1220	24028	4093
1221	24060	4075
1222	24104	4060
1223	24144	4043
1224	24178	4026
1225	24231	4012
1226	24259	3993
1227	24283	3974
1228	24320	3957
1229	24378	3944
1230	24404	3925
1231	24430	3906
1232	24460	3888
1233	24484	3869
1234	24506	3849
1235	24527	3830
1236	24551	3810
1237	24570	3790
1238	24594	3771
1239	24612	3751
1240	24630	3731
1241	24650	3711
1242	24668	3691
1243	24685	3671
1244	24703	3651
1245	24721	3630
1246	24740	3610
1247	24758	3590
1248	24784	3571
1249	24805	3552
1250	24831	3533
1251	24857	3514
1252	24889	3496
1253	24909	3476
1254	24931	3456
1255	24950	3436
1256	24968	3416
1257	24986	3396
1258	25007	3376
1259	25025	3356
1260	25044	3336
1261	25063	3316
1262	25081	3296
1263	25101	3276
1264	25118	3256
1265	25137	3236
1266	25157	3216
1267	25180	3197
1268	25204	3177
1269	25227	3158
1270	25248	3138
1271	25266	3118
1272	25284	3098
1273	25301	3078
1274	25318	3058
1275	25335	3037
1276	25355	3018
1277	25373	2997
1278	25390	2977
1279	25408	2957
1280	25426	2937
1281	25443	2917
1282	25462	2897
1283	25479	2877
1284	25497	2857
1285	25515	2837
1286	25533	2817
1287	25552	2797
1288	25570	2777
1289	25588	2757
1290	25608	2737
1291	25626	2717
1292	25644	2697
1293	25661	2677
1294	25679	2657
1295	25697	2637
1296	25715	2617
1297	25732	2597
1298	25750	2576
1299	25768	2557
1300	25785	2536
1301	25802	2516
1302	25820	2496
1303	25838	2476
1304	25856	2456
1305	25875	2436
1306	25893	2416
1307	25911	2397
1308	25929	2377
1309	25949	2357
1310	25968	2337
1311	25991	2317
1312	26011	2298
1313	26031	2278
1314	26055	2258
1315	26077	2239
1316	26101	2219
1317	26121	2199
1318	26150	2180
1319	26173	2161
1320	26193	2141
1321	26214	2121
1322	26242	2102
1323	26262	2082
1324	26281	2062
1325	26302	2043
1326	26325	2023
1327	26345	2003
1328	26364	1983
1329	26384	1963
1330	26403	1944
1331	26421	1924
1332	26451	1904
1333	26469	1885
1334	26486	1864
1335	26504	1845
1336	26522	1825
1337	26541	1805
1338	26559	1785
1339	26579	1765
1340	26596	1745
1341	26613	1725
1342	26631	1705
1343	26648	1685
1344	26667	1665
1345	26684	1645
1346	26702	1625
1347	26720	1605
1348	26737	1585
1349	26756	1565
1350	26777	1546
1351	26796	1526
1352	26815	1506
1353	26834	1486
1354	26874	1467
1355	26926	1449
1356	26968	1430
1357	27004	1411
1358	27050	1393
1359	27088	1374
